"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PSMD12",1741.67928247949,-1.15593409574673,0.351473796685181,-3.28882012442628,0.00100608299220714,0.0230762586722776
"PSME3",2259.70405159303,-1.21325561029776,0.206520131400009,-5.87475710998751,4.23463770042362e-09,3.68938706318303e-07
"PSMG1",2224.30355532177,1.39793473271997,0.429916835393533,3.25163989319083,0.00114741294610759,0.0259211539724688
"PSPC1",2601.20932686649,1.61308738653396,0.480303239254352,3.35847700931228,0.000783732404035624,0.0186715986063219
"PTGER4",2230.95861049952,-2.24929298024473,0.331739888021682,-6.78029100949632,1.19934054101696e-11,2.34424145051994e-09
"PTPLAD1",2051.39833452161,-0.816189483188162,0.261702523883829,-3.1187681000374,0.00181608835722822,0.0372772964887419
"PTPRO",371.560962775031,-8.97346569512283,1.28839701865034,-6.96482960238684,3.28801475642635e-12,7.46545411060117e-10
"PTRH1",2375.70860340578,-0.932176453102308,0.225691719744097,-4.13030860928025,3.6227658795131e-05,0.00123382623393478
"PTRH2",1159.44684807664,-1.3389606043064,0.405007310583797,-3.30601588987706,0.00094632720971922,0.0219068414212859
"PTX4",79.683303018049,7.0244057922468,1.43292090832771,4.90215876635132,9.47891767136698e-07,5.52072749382468e-05
"PUSL1",2399.1041563705,1.83470962706388,0.515467592825784,3.55931129832243,0.000371828586311203,0.00989108042970796
"PVRL4",2397.39691809349,-1.14120245545975,0.213780089546071,-5.33820739753132,9.38700461112094e-08,7.67276689631915e-06
"PXN",1935.95260104718,-1.95165378938911,0.511993894880307,-3.81186926036563,0.000137919824832117,0.00417249235878375
"QDPR",1989.03508080659,2.22105697825077,0.610553628105502,3.63777541563798,0.000275003056614414,0.00765039443883514
"QPCTL",2081.50351781937,-1.72325839393359,0.600507314901756,-2.86967094516662,0.00410899158432577,0.0725944050019786
"QSOX1",1269.87807103099,-1.56351501563217,0.534997911294311,-2.92246938282355,0.00347267761528516,0.0641931311154438
"QTRTD1",1980.85505942926,2.18221798457839,0.532633259892455,4.09703664585084,4.18472676815257e-05,0.00140814802836128
"R3HDM4",2228.90053951691,0.662330283279196,0.239655864224392,2.76367234084892,0.00571549007519999,0.0945347946360157
"RAB11FIP5",1643.30278187872,1.75009111106946,0.360242767009468,4.85808813206085,1.18524653800531e-06,6.21051660777772e-05
"RAB30-AS1",2143.06850425159,1.79388521656281,0.610634049330576,2.93774187425252,0.00330612164464723,0.0617234238607812
"RAB40C",2492.85052357421,-1.45968112630036,0.399610975047951,-3.65275534818632,0.000259441392878069,0.00724437717902265
"RAB43",2106.58499759508,-1.59232041911985,0.514621415639831,-3.09415887238216,0.00197371764103231,0.0401132234494794
"RAB6A",2276.74991138014,1.03667291775618,0.327751258418645,3.16298684178355,0.00156159389625526,0.0328358349859924
"RABEPK",984.26771977791,-1.42117026508085,0.407371657887108,-3.48863313773952,0.000485496975953625,0.0124862711962078
"RABGEF1",1440.88978148509,-2.04726387864464,0.60460183860998,-3.38613571429328,0.000708843186516656,0.0172066707845803
"RAD51D",2121.02294945862,-0.89344174093606,0.321874194154042,-2.77574828042437,0.00550748304724003,0.0918376883797191
"RAD51L3-RFFL",566.338467195512,-9.87006011986715,1.30262415312982,-7.57705904358697,3.53475942505894e-14,1.47137633993472e-11
"RAD54L",718.050668962276,-2.47027064772495,0.749011802898684,-3.29803968130405,0.000973623740385351,0.0224232729880962
"RALGDS",2144.4193074117,0.95971801537188,0.305544493552146,3.1410090367349,0.00168366837268767,0.0350421274826606
